2022-03-03 00:00:00,2022-03-04 00:00:00,2022-03-05 00:00:00,2022-03-06 00:00:00,2022-03-07 00:00:00,2022-03-08 00:00:00,2022-03-09 00:00:00,2022-03-10 00:00:00,2022-03-11 00:00:00,2022-03-12 00:00:00,2022-03-13 00:00:00,2022-03-14 00:00:00,2022-03-15 00:00:00,2022-03-16 00:00:00,2022-03-17 00:00:00,2022-03-18 00:00:00,2022-03-19 00:00:00,2022-03-20 00:00:00,2022-03-21 00:00:00,2022-03-22 00:00:00,2022-03-23 00:00:00,2022-03-24 00:00:00,2022-03-25 00:00:00,2022-03-26 00:00:00,2022-03-27 00:00:00,2022-03-28 00:00:00,2022-03-29 00:00:00,2022-03-30 00:00:00,2022-03-31 00:00:00,target
0,0,1,14,11,12,3,3,2,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,2,14,22,4,2,0,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,1,8,14,14,4,1,1,3,1,1,,,,,,,,,,,,,,,,,,1
0,0,3,19,9,8,3,1,1,1,0,1,1.0,0.0,1.0,,,,,,,,,,,,,,,1
0,0,6,7,12,9,5,2,2,2,1,1,1.0,,,,,,,,,,,,,,,,,1
0,0,2,11,14,8,5,1,2,0,0,0,1.0,0.0,1.0,1.0,,,,,,,,,,,,,,1
0,0,2,19,10,9,5,1,1,0,0,0,2.0,0.0,0.0,,,,,,,,,,,,,,,1
0,0,2,14,13,6,2,2,2,2,0,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,1
0,0,7,18,17,5,0,1,0,1,0,1,,,,,,,,,,,,,,,,,,1
0,0,3,19,18,5,1,1,0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,6,24,10,4,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,5,17,8,3,0,0,1,0,2,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,2,17,19,3,0,0,0,0,1,0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,5,14,13,4,1,0,0,3,0,0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,,,,1
0,0,1,17,15,4,1,2,2,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,1,13,14,4,2,2,2,3,0,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,1
0,0,1,6,21,7,3,0,2,0,3,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,13,14,7,7,4,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0,0,0,13,16,3,8,0,1,2,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1
0,0,0,12,13,7,6,5,1,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
